成分名,値,単位
廃棄率,0,%
エネルギー,74,kcal
312,kJ
水分,65.4,g
たんぱく質
アミノ酸組成によるたんぱく質,-,g
たんぱく質,16.9,g
脂肪酸のトリアシルグリセロール当量,0.5,g
コレステロール,300,mg
脂質,0.9,g
炭水化物,利用可能炭水化物,利用可能炭水化物（単糖当量）,(0.4),g
利用可能炭水化物（質量計）,(0.4),g
差引き法による利用可能炭水化物,0.8,g
食物繊維総量,(0),g
糖アルコール,-,g
炭水化物,0.4,g
有機酸,-,g
灰分,16.4,g
無機質,ナトリウム,5800,mg
カリウム,300,mg
カルシウム,35,mg
マグネシウム,28,mg
リン,220,mg
鉄,6.8,mg
亜鉛,1.5,mg
銅,0.13,mg
マンガン,0.03,mg
ヨウ素,-,μg
セレン,-,μg
クロム,-,μg
モリブデン,-,μg
ビタミン,ビタミンA,,レチノール,250,μg
,α−カロテン,0,μg
β−カロテン,0,μg
β−クリプトキサンチン,(0),μg
β−カロテン当量,(0),μg
レチノール活性当量,250,μg
ビタミンD,20.0,μg
ビタミンE,α−トコフェロール,0.4,mg
β−トコフェロール,0,mg
γ−トコフェロール,0,mg
δ−トコフェロール,0,mg
ビタミンK,1,μg
ビタミンB1,Tr,mg
ビタミンB2,6.38,mg
ナイアシン,2.7,mg
ナイアシン当量,5.5,mg
ビタミンB6,0.07,mg
ビタミンB12,330.0,μg
葉酸,60,μg
パントテン酸,0.91,mg
ビオチン,-,μg
ビタミンC,(0),mg
アルコール,-,g
食塩相当量,14.7,g
